,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,That's crazy. I feel like they're more real American experience than we are.,0.8722593784332275,0 days 00:00:09,0 days 00:00:13.700000,05/20/21,210520_001_me.wav
1, What Stadium Arcadium by Red Hot Chili Peppers album?,0.9517189860343933,0 days 00:00:15.500000,0 days 00:00:19,05/20/21,210520_001_me.wav
2," Of course, I'm like not going to really listen to any of that. I feel like I'd get out.",0.7408509254455566,0 days 00:00:23.400000,0 days 00:00:29.800000,05/20/21,210520_001_me.wav
3," I will take two seconds and I just, I just have to make a couple of life. And then I'm going to, hopefully, I might have to write the program for the orbit that strips the audio of all.",0.9341658353805542,0 days 00:00:32,0 days 00:00:43.200000,05/20/21,210520_001_me.wav
4," I have to write the program on luggage straps of frequencies that it's like. So I've never, I've never gone into like sounds code and see if it sounds all of this. I'm learning. Every everything is open to us and never probably programs already that do like, 95% of what happened. I just have to adjust and promises and stuff on the pistol really easy. It's like to Kansai classes. But now I'm like kind of figured out. I can like sort of manipulate a law firm small programs and it's like, I don't know any Dean",0.9216883182525635,0 days 00:00:46,0 days 00:01:24.300000,05/20/21,210520_001_me.wav
5, Is the awful. He forgot his phone?,0.9361603856086731,0 days 00:01:27.500000,0 days 00:01:29.500000,05/20/21,210520_001_me.wav
6, What time is it by the way?,0.963320791721344,0 days 00:01:37.600000,0 days 00:01:39.300000,05/20/21,210520_001_me.wav
7," It's like, 7:30.",0.6043712496757507,0 days 00:01:40.500000,0 days 00:01:41.700000,05/20/21,210520_001_me.wav
8, Technically.,0.9770011901855469,0 days 00:01:46.700000,0 days 00:01:47.500000,05/20/21,210520_001_me.wav
9," Hourly, I'm sorry. You didn't have your phone, right? I mean,",0.9003235101699829,0 days 00:01:50,0 days 00:01:57.800000,05/20/21,210520_001_me.wav
10, I was in the Chinese.,0.9190467000007629,0 days 00:02:01.900000,0 days 00:02:05.300000,05/20/21,210520_001_me.wav
11, But the white paint thing.,0.9358989596366882,0 days 00:02:10.300000,0 days 00:02:11.500000,05/20/21,210520_001_me.wav
12," Sixth graders and I don't see why we have to like necessarily like it. It's a piece of like,",0.8954744935035706,0 days 00:02:13.200000,0 days 00:02:19.500000,05/20/21,210520_001_me.wav
13," Yeah, streets of cultured leggings.",0.5336411595344543,0 days 00:02:20.400000,0 days 00:02:22.800000,05/20/21,210520_001_me.wav
14, Of the Chinese people. Yellow peas were just by him.,0.8388065099716187,0 days 00:02:37,0 days 00:02:40.500000,05/20/21,210520_001_me.wav
15, That's funny. Good. Well.,0.7131175994873047,0 days 00:02:43.700000,0 days 00:02:45.900000,05/20/21,210520_001_me.wav
16," I bet she has a lot of heavy loads only just that the more you support, think that there is something that I learned. I always, I never really what I mean, when I was in chorus, singing really loudly. And I'd be like, this isn't so that isn't like four and",0.9315990805625916,0 days 00:02:51.600000,0 days 00:03:10.300000,05/20/21,210520_001_me.wav
17," Anak anak. If you like Francis if you like I said, I think that like I think that you should know. What does the coach ever tell you off? Attic will tell you to do things that I know I'm saying. I'm saying that they're often times in which to go to asks you to do things to write. I mean, how many times does the average one more comments and she does probably",0.9343992471694946,0 days 00:03:15.100000,0 days 00:03:37.400000,05/20/21,210520_001_me.wav
18," right. I mean no, it's because you're I think I think that I was really confused about the same thing in it when I was coming up because like a lot of people, like when you like, oh, in English sauce, when someone's like you do, read this out loud, you know, and then like read this in like the tone off. Like this, this entire thing, and someone be like, okay, I'll do it, you know, like and he went in there was absolutely no. I kind of like that. You like. It feels like, it feels like, they don't don't understand.",0.9580872654914856,0 days 00:03:38.800000,0 days 00:04:19.100000,05/20/21,210520_001_me.wav
19," Pono like, you know, they don't understand what not case. It's like don't be annoyed. It's just like that, but that's the walking.",0.7630064487457275,0 days 00:04:19.900000,0 days 00:04:27,05/20/21,210520_001_me.wav
