,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,"The car that Lonnie was coming into town today or this weekend this weekend. Yeah, I will right now I beat this weekend, Friday.",0.8600168228149414,0 days 00:00:04.200000,0 days 00:00:18.100000,03/25/22,220325_001_me.wav
1," Wait, do you not want to go out? But let's just go for a walk, then then come back.",0.935695469379425,0 days 00:00:20.600000,0 days 00:00:25,03/25/22,220325_001_me.wav
2," The note, I just want to be around you. That's a lie. One.",0.9141408205032349,0 days 00:00:28.400000,0 days 00:00:31.200000,03/25/22,220325_001_me.wav
3," Sometimes I just want to let you know, I'm perfectly capable of making my own decisions. I'm choosing to I'm choosing to come with you because I want to hang out with you.",0.9479213356971741,0 days 00:00:32.100000,0 days 00:00:43.200000,03/25/22,220325_001_me.wav
4, Solange choosing to come with you because I want to hang out with you don't because you don't find any other reason.,0.9145166873931885,0 days 00:00:45.200000,0 days 00:00:52.100000,03/25/22,220325_001_me.wav
5, Why?,0.61603182554245,0 days 00:00:53.900000,0 days 00:00:54.300000,03/25/22,220325_001_me.wav
6, I like hanging out with you. What's up with that? Why is that so wrong? It's not like the reason.,0.9498760104179382,0 days 00:00:57.300000,0 days 00:01:04.900000,03/25/22,220325_001_me.wav
7, Wayside.,0.7958061695098877,0 days 00:01:14,0 days 00:01:14.600000,03/25/22,220325_001_me.wav
8, Have to go to dance. Wait for a walk down like a longer walk.,0.8308382630348206,0 days 00:01:45,0 days 00:01:48.300000,03/25/22,220325_001_me.wav
9, You spell Tisha. What is now?,0.6806405186653137,0 days 00:01:54.800000,0 days 00:01:56.500000,03/25/22,220325_001_me.wav
10," If you want to come back here afterwards and let me let me leave my back, a cat's having.",0.8416808247566223,0 days 00:02:00.900000,0 days 00:02:05.900000,03/25/22,220325_001_me.wav
11," Would you want to watch? It might be nice to do that. Like, hour and a half, Excursion from the house. You know, we go. Go for a walk, sit down W for like in animals back. What do you want to do? If you if you want it. If you want to chill hit we'll see. If you're getting stressed by the me being here. Then. I can also go and go for a walk and come back here to sleep.",0.9594884514808655,0 days 00:02:07.200000,0 days 00:02:30.800000,03/25/22,220325_001_me.wav
12, I'll be nicer. We can even go to wrapped up and get a coffee.,0.8764280676841736,0 days 00:02:33.800000,0 days 00:02:37,03/25/22,220325_001_me.wav
13, The coffee will.,0.9730799794197083,0 days 00:02:41.900000,0 days 00:02:42.700000,03/25/22,220325_001_me.wav
14, Beautiful.,0.958920955657959,0 days 00:02:45,0 days 00:02:45.900000,03/25/22,220325_001_me.wav
15," I need to know if it's okay, if they don't know me.",0.7632675766944885,0 days 00:02:48.200000,0 days 00:02:50.300000,03/25/22,220325_001_me.wav
