,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,I think I really want to make myself HUD.,0.9570212960243225,0 days 00:00:05,0 days 00:00:07.600000,11/18/21,211118_001_others.wav
1," I'm in constant supposed to be, he can feel that everything is love.",0.7709198594093323,0 days 00:00:09.100000,0 days 00:00:14.200000,11/18/21,211118_001_others.wav
2," As I drive. Now, I think that my whole life and every moment I'm composing myself in real time. And in fact, my thoughts are composing myself in real-time. My thoughts manifest even writes with some collection of inclusions and",0.9041575193405151,0 days 00:00:18.800000,0 days 00:00:36.300000,11/18/21,211118_001_others.wav
3, Apps. If one could speed up the pace of the race of thoughts.,0.8538768291473389,0 days 00:00:37.700000,0 days 00:00:41.800000,11/18/21,211118_001_others.wav
4, Why would one? Why would one reach?,0.8402615189552307,0 days 00:00:43,0 days 00:00:45.700000,11/18/21,211118_001_others.wav
5, Driven to.,0.835334837436676,0 days 00:00:49.800000,0 days 00:00:50.700000,11/18/21,211118_001_others.wav
6, Strangest end.,0.47915786504745483,0 days 00:00:51.800000,0 days 00:00:53.200000,11/18/21,211118_001_others.wav
7," I,",0.8845095038414001,0 days 00:00:57.200000,0 days 00:00:57.600000,11/18/21,211118_001_others.wav
8, Fully manifest myself.,0.8518077731132507,0 days 00:00:58.900000,0 days 00:01:00.600000,11/18/21,211118_001_others.wav
9, for the manifestation of the South just a manifestation of,0.8999814987182617,0 days 00:01:01.800000,0 days 00:01:04.800000,11/18/21,211118_001_others.wav
10, General.,0.8262863755226135,0 days 00:01:05.800000,0 days 00:01:07.200000,11/18/21,211118_001_others.wav
11, Being emotional because old individual cross store.,0.69987553358078,0 days 00:01:08.600000,0 days 00:01:12.600000,11/18/21,211118_001_others.wav
12, Not sure what I'm saying.,0.9281633496284485,0 days 00:01:13.800000,0 days 00:01:15.100000,11/18/21,211118_001_others.wav
13," I was I was I was also thinking a little bit about I just want to get this time and paper, you know, John will of Souls.",0.863444447517395,0 days 00:01:20.700000,0 days 00:01:30,11/18/21,211118_001_others.wav
14, About.,0.9601816534996033,0 days 00:01:33.700000,0 days 00:01:34.400000,11/18/21,211118_001_others.wav
15," This odd feeling you had. That sounds not didn't fully see me, somehow.",0.8932002186775208,0 days 00:01:35.900000,0 days 00:01:41.200000,11/18/21,211118_001_others.wav
16," And got like, there was something somewhat critical, something strange things that she wasn't quite evident and then I realized fast off of what it what is a continuous. Like they should be continually attentive to one's forever and your lies. Like, I deliver it right to present, right?",0.9112541079521179,0 days 00:01:46.700000,0 days 00:02:08.800000,11/18/21,211118_001_others.wav
17," Difference between is more truthful somehow. I want more foreign and some happiness, but the only thing United desperate,",0.9196239113807678,0 days 00:02:10.400000,0 days 00:02:19.100000,11/18/21,211118_001_others.wav
18," Values. I just thought I just want to exist, right up. I want to be",0.9370970129966736,0 days 00:02:20.300000,0 days 00:02:25.900000,11/18/21,211118_001_others.wav
19, You totally separate from the breathing fire.,0.7479442358016968,0 days 00:02:27.200000,0 days 00:02:39.600000,11/18/21,211118_001_others.wav
20, My entire life in some salad.,0.5946316719055176,0 days 00:02:41.700000,0 days 00:02:43.700000,11/18/21,211118_001_others.wav
21, I don't know.,0.9705655574798584,0 days 00:02:51.800000,0 days 00:02:53.300000,11/18/21,211118_001_others.wav
22, I'll do 80.,0.537606418132782,0 days 00:02:57,0 days 00:03:02.600000,11/18/21,211118_001_others.wav
23, I'm going to add one to do a mission on this end by sarcasm. I think that's going to be really interesting label to the Prairies to the gpt-3. So keep that in mind as well.,0.9223576784133911,0 days 00:03:13.300000,0 days 00:03:27.900000,11/18/21,211118_001_others.wav
24, Bonita company.,0.9652234315872192,0 days 00:03:29.200000,0 days 00:03:31.400000,11/18/21,211118_001_others.wav
25, How are you doing?,0.8108389377593994,0 days 00:03:38.400000,0 days 00:03:39.100000,11/18/21,211118_001_others.wav
26, My alarm rings off like 30 minutes. Thank you so much.,0.8823432326316833,0 days 00:03:44.400000,0 days 00:03:53.700000,11/18/21,211118_001_others.wav
27," Can you release date to myself? Haha, you can do it.",0.8103163242340088,0 days 00:04:06.700000,0 days 00:04:11.100000,11/18/21,211118_001_others.wav
28, Hello.,0.6925243139266968,0 days 00:04:25,0 days 00:04:28.700000,11/18/21,211118_001_others.wav
29," And not thinking about have a permanent record of my existence. You know, if I did speak out in the intervals between, you know, I can log it.",0.9072146415710449,0 days 00:04:35,0 days 00:04:48.100000,11/18/21,211118_001_others.wav
30," The amenity project does, essentially use Simple logic to that conclusion to sort of reach immortality.",0.9146882891654968,0 days 00:04:58.900000,0 days 00:05:08.700000,11/18/21,211118_001_others.wav
