,0,1,2,3
0,You should enjoy going to the library today.,14.0,17.0,220326_001_me.wav
1," The only question I would, we watch Bridget in.",18.0,21.0,220326_001_me.wav
2, That sounds great.,25.0,27.0,220326_001_me.wav
3, Should we bring this?,33.0,35.0,220326_001_me.wav
4," Yeah, but they're easier to eat.",38.0,41.0,220326_001_me.wav
5, This is probably because of the season.,42.0,45.0,220326_001_me.wav
6, We shall survive. We shall survive.,48.0,51.0,220326_001_me.wav
7, Here. Cleanse.,70.0,72.0,220326_001_me.wav
8, Library across classroom. If something is walking.,81.0,84.0,220326_001_me.wav
9, I feel good walking outside.,87.0,91.0,220326_001_me.wav
10, Suns.,99.0,101.0,220326_001_me.wav
11," Unfortunately, I do not know where my keys up.",101.0,104.0,220326_001_me.wav
12, Host Club.,115.0,116.0,220326_001_me.wav
13," Great love these boxes. I only have to do this so silly, like I hate them, but that was like, so,",137.0,145.0,220326_001_me.wav
14," This one is so funny, so funny.",145.0,149.0,220326_001_me.wav
15, This will work to get us a wake.,150.0,154.0,220326_001_me.wav
16," And we did all that. We cleaned up the fridge. We ate, we did everything in like an hour.",154.0,160.0,220326_001_me.wav
17," Perfectamino five, antennas.",165.0,168.0,220326_001_me.wav
18," Because some pie vents in a, yeah.",169.0,172.0,220326_001_me.wav
19," Yeah, I didn't do that for a while, Ono.",192.0,196.0,220326_001_me.wav
20," No, I I just I don't have time to see Lana. See, how do I know I will? I'm getting lots of good. That will, do you like a coffee or something with? I mean, I'll do a coffee with her. That should be like a nice little break at some point. Let me let me text. I see what she's up to cuz she text me. I didn't respond to her last time.",197.0,215.0,220326_001_me.wav
21, Let's do coffee.,218.0,220.0,220326_001_me.wav
22," Tomorrow, let's your coffee some point tomorrow.",224.0,228.0,220326_001_me.wav
23, When will you leave?,228.0,231.0,220326_001_me.wav
24," Yeah, I know. That wasn't nothing with my good friends that left us. You also one of my good friends.",232.0,239.0,220326_001_me.wav
25," There's like a nip, the body human Amy.",245.0,249.0,220326_001_me.wav
26, Bring up.,249.0,251.0,220326_001_me.wav
27," Yeah, I know. I didn't think that's why I like exactly like all these people like transferred and laughed. Like I enjoyed like everyone that I liked at the school app is turning into a monster.",251.0,267.0,220326_001_me.wav
28," Yeah, I think I am is that so?",269.0,272.0,220326_001_me.wav
29," Yeah, I know exactly mean that, that's exactly who he is and he is not. Kind of like a great.",275.0,283.0,220326_001_me.wav
30, Great like man. She was like slightly. He's not a child though. I think maybe he might be with with his with Haley or something. I'm not sure. But like I'm not sure.,284.0,296.0,220326_001_me.wav
31," Good, I think. But I think they haven't gotten Beyond full minutes cuz I still like very much like he acts like he's a little tough thing like, oh my God, I was so embarrassing. Like I said the wrong, you know, I like it.",297.0,309.0,220326_001_me.wav
32," I know if we will ever like before me like yeah, I know sometime. We just like slouched upon one another.",312.0,319.0,220326_001_me.wav
33, I'm not really sure we got back. Are you anxious?,325.0,328.0,220326_001_me.wav
34," Is exciting, you know, we're going to strive to keep it exciting. When you start slipping back into something, will put that to a halt somehow. Yeah, that's true. For fun out here.",334.0,348.0,220326_001_me.wav
35," I'm sorry. I caused that kick the whole stick. Stick with all know. That's my fault. It's totally up to you. I'm sorry, my love.",348.0,360.0,220326_001_me.wav
36," I hate that lady. Yeah, she's terrible with Penelope's good. Yeah, but like it's kind of strange because like, I feel like they made like everyone in the show like an extremely attractive like every single person and then Penelope. The only one who's not attractive physically, although she's attractive, like, Nancy. Not even know. It's not even about like, it's not a weight. It's it's it's just",364.0,393.0,220326_001_me.wav
37," Like it's like it's like everyone else is like made to be like I got it and up through cat. I mean like I think I mean,",393.0,403.0,220326_001_me.wav
38," If I gets it, I'm not sure if I like.",404.0,407.0,220326_001_me.wav
39, That's so you really like that guy.,407.0,411.0,220326_001_me.wav
40," Not, you could not but because of that, because you couldn't would be like so much more.",414.0,421.0,220326_001_me.wav
41," Oh my God, Kami.",423.0,425.0,220326_001_me.wav
42, We will be.,425.0,426.0,220326_001_me.wav
43," Okay, I'll hold a nice little distance.",427.0,430.0,220326_001_me.wav
44," But the thing is, is that like it's so immediately apparent.",431.0,435.0,220326_001_me.wav
45," That way together like we don't say anything to Sofia and she just immediately know you see that you guys are together. Like we didn't touch each other. We didn't say anything because you were just like, yeah, Parish whatever, whatever. And then she was like, sorry that I said, she sorry.",437.0,454.0,220326_001_me.wav
46, It's just it's just it's just strange sometimes in like he gets it as much easier to identify identify Ray. When they then is Sykes.,455.0,465.0,220326_001_me.wav
